;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/wall_energy_lvl_1;An advanced form of a wall. Instead of relying on a solid structure this version utilizes high-power laser beams to form a barrier. Coming into contact with this structure may be harmful.;;;;Eine fortschrittliche Form einer Mauer. Anstelle einer festen Struktur nutzt diese Version hochleistungsfähige Laserstrahlen, um eine Barriere zu bilden. Der Kontakt mit dieser Struktur kann schädlich sein.;;;一种先进形式的墙。该版本不依赖实体结构，而是利用高能激光束形成屏障。接触此结构可能有害;;
gui/hud/building_description/wall_energy_lvl_2;Advanced powered regenerating energy barrier. Highly resistant to energy and cryo damage but very fragile to physical and sensitive to fire and acid damage. Deals damage on contact.;;;;Fortgeschrittene, sich selbst regenerierende Energiebarrieren. Sehr widerstandsfähig gegen Energie- und Kryoschaden, aber sehr anfällig für physischen Schaden und empfindlich gegenüber Feuer- und Säureschaden. Verursacht bei Kontakt Schaden.;;;高级供电再生能量屏障。高抗能量和低温伤害，但对物理伤害非常脆弱，对火焰和酸性伤害敏感。接触造成伤害;;
gui/hud/building_description/wall_energy_lvl_3;Tough powered regenerating energy barrier. Highly resistant to energy and cryo damage but very fragile to physical and sensitive to fire and acid damage. Deals damage on contact.;;;;Robuste, sich selbst regenerierende Energiebarrieren. Sehr widerstandsfähig gegen Energie- und Kryoschaden, aber sehr anfällig für physischen Schaden und empfindlich gegenüber Feuer- und Säureschaden. Verursacht bei Kontakt Schaden.;;;坚固的供电再生能量屏障。高抗能量和低温伤害，但对物理伤害非常脆弱，对火焰和酸性伤害敏感。接触造成伤害;;
gui/hud/building_description/wall_small_lvl_1;Provides basic protection for the base. Can be built in multiple layers. Cheap reliable and sturdy.;;;;Bietet grundlegenden Schutz für die Basis. Kann in mehreren Schichten errichtet werden. Günstig, zuverlässig und robust.;;;为基地提供基础保护。可建造多层，具有成本低且可靠牢固的优点。;;
gui/hud/building_description/wall_small_lvl_2;Reinforced concrete wall. Increased physical resistance but fragile to acid and area damage;;;;Stahlbetonwand. Erhöhte physische Widerstandsfähigkeit, aber anfällig für Säure- und Flächenschaden;;;钢筋混凝土墙。物理抗性提高，但对酸性和范围伤害脆弱;;
gui/hud/building_description/wall_small_lvl_3;Tough reinforced concrete wall. High physical resistance but fragile to acid and area damage;;;;Robuste Stahlbetonmauer. Hohe physische Widerstandsfähigkeit, aber anfällig für Säure- und Flächenschaden;;;坚固的钢筋混凝土墙。高物理抗性，但对酸性和范围伤害脆弱;;
gui/hud/building_description/wall_vine_lvl_1;These walls automatically recede into the ground when the Mech is close to them. This allows the user to shoot over them with ease and negates the need for building gates. Resistant to area and acid damage but very fragile to fire damage. The walls also regenerate missing hit points over time but do not reconstruct from ruins by themselves.;;;;Diese Mauern ziehen sich automatisch in den Boden zurück, wenn sich der Mech in ihrer Nähe befindet. Dies ermöglicht es dem Benutzer, mühelos über sie hinweg zu schießen, und macht den Bau von Toren überflüssig. Resistent gegen Flächenschaden und Säureschaden, aber sehr anfällig für Feuerschaden. Die Mauern regenerieren fehlende Trefferpunkte im Laufe der Zeit, bauen sich jedoch nicht von selbst aus Trümmern wieder auf.;;;这种墙壁能在机甲接近时自动缩回地面。这允许用户轻松地越过它进行射击，无需额外建造闸门。它对范围伤害和酸性伤害有抗性，但非常脆弱，易受火焰伤害。墙壁能随时间自动恢复损失的生命值，但无法从废墟状态自行重建。;;
gui/hud/building_description/wall_vine_lvl_2;Resistant to area and acid damage but very  fragile to fire damage. Regenerates health and recedes when Mech passes by.;;;;Resistent gegen Flächenschaden und Säureschaden, aber sehr anfällig für Feuerschaden. Regeneriert Gesundheit und zieht sich zurück, wenn der Mech vorbeifährt.;;;抗范围和酸性伤害，但对火焰伤害非常脆弱。机甲经过时回缩并恢复生命值;;
gui/hud/building_description/wall_vine_lvl_3;Resistant to area and acid damage but very  fragile to fire damage. Regenerates health and recedes when Mech passes by.;;;;Resistent gegen Flächenschaden und Säureschaden, aber sehr anfällig für Feuerschaden. Regeneriert Gesundheit und zieht sich zurück, wenn der Mech vorbeifährt.;;;抗范围和酸性伤害，但对火焰伤害非常脆弱。机甲经过时回缩并恢复生命值;;
gui/hud/building_description/water_drill;Drills for groundwater;;;;Bohrer für Grundwasser;;;钻探地下水的钻机;;
gui/hud/building_name/alloys_factory;Alloys Factory (Cobalt);;;;Legierungsfabrik (Kobalt);;;合金工厂（钴）;;
gui/hud/building_name/alloys_factory_palladium;Alloys Factory (Palladium);;;;Legierungsfabrik (Palladium);;;合金工厂（钯）;;
gui/hud/building_name/alloys_factory_titanium;Alloys Factory (Titanium);;;;Legierungsfabrik (Titan);;;合金工厂（钛）;;
gui/hud/building_name/alloys_factory_uranium;Alloys Factory (Uranium);;;;Legierungsfabrik (Uran);;;合金工厂（铀）;;
gui/hud/building_name/ammo_factory_energy_adv;Advanced mech energy ammo processor;;;;Fortgeschrittener Mech-Energie-Munitionsprozessor;;;高级机甲能量弹药工厂;;
gui/hud/building_name/ammo_factory_energy_ext;Top end mech energy ammo processor;;;;Hochwertiger Mech-Energie-Munitionsprozessor;;;顶级机甲能量弹药工厂;;
gui/hud/building_name/ammo_factory_explosive_adv;Advanced explosives processor;;;;Fortgeschrittener Sprengstoffprozessor;;;高级炸药工厂;;
gui/hud/building_name/ammo_factory_explosive_ext;Top end explosives processor;;;;Hochwertiger Sprengstoffprozessor;;;顶级炸药工厂;;
gui/hud/building_name/ammo_factory_explosive_liquid;Explosives and liquid ammo factory;;;;Sprengstoff- und Flüssigmunitionsfabrik;;;炸药和液体弹药工厂;;
gui/hud/building_name/ammo_factory_highcaliber_adv;Advanced high caliber ammo processor;;;;Fortgeschrittener Großkaliber-Munitionsprozessor;;;高级大口径弹药工厂;;
gui/hud/building_name/ammo_factory_highcaliber_adv_molt;Advanced high caliber ammo factory;;;;Fortgeschrittene Großkaliber-Munitionsfabrik;;;高级大口径弹药工厂;;
gui/hud/building_name/ammo_factory_highcaliber_adv_molt_uranium;Advanced high caliber ammo factory (DU);;;;Fortgeschrittene Großkaliber-Munitionsfabrik (DU);;;高级大口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_highcaliber_adv_uranium;Advanced high caliber ammo processor (DU);;;;Fortgeschrittener Großkaliber-Munitionsprozessor (DU);;;高级大口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_highcaliber_adv_uranium_molt;Advanced high caliber ammo factory (DU);;;;Fortgeschrittene Großkaliber-Munitionsfabrik (DU);;;高级大口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_highcaliber_ext;Top end high caliber ammo processor;;;;Hochwertiger Verarbeitungsbetrieb für großkalibrige Munition;;;顶级大口径弹药工厂;;
gui/hud/building_name/ammo_factory_highcaliber_ext_molt;Top end high caliber ammo forge;;;;Hochwertige Schmiede für großkalibrige Munition;;;顶级大口径弹药锻造厂;;
gui/hud/building_name/ammo_factory_liquid_adv;Advanced liquid ammo processor (carbonium);;;;Fortgeschrittener Verarbeitungsbetrieb für flüssige Munition (Carbonium);;;高级液体弹药工厂（碳）;;
gui/hud/building_name/ammo_factory_liquid_adv_gas;Advanced liquid ammo processor (gas);;;;Fortgeschrittener Verarbeitungsbetrieb für flüssige Munition (Gas);;;高级液体弹药工厂（气）;;
gui/hud/building_name/ammo_factory_liquid_ext;Top end liquid ammo processor;;;;Hochwertiger Verarbeitungsbetrieb für flüssige Munition;;;顶级液体弹药工厂;;
gui/hud/building_name/ammo_factory_lowcaliber_adv;Advanced low caliber ammo processor;;;;Fortgeschrittener Verarbeitungsbetrieb für kleinkalibrige Munition;;;高级小口径弹药工厂;;
gui/hud/building_name/ammo_factory_lowcaliber_adv_molt;Advanced low caliber ammo factory;;;;Fortgeschrittene Fabrik für kleinkalibrige Munition;;;高级小口径弹药工厂;;
gui/hud/building_name/ammo_factory_lowcaliber_adv_molt_uranium;Advanced low caliber ammo factory (DU);;;;Fortgeschrittene Fabrik für kleinkalibrige Munition (DU);;;高级小口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_lowcaliber_adv_uranium;Advanced low caliber ammo processor (DU);;;;Fortgeschrittener Verarbeitungsbetrieb für kleinkalibrige Munition (DU);;;高级小口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_lowcaliber_adv_uranium_molt;Advanced low caliber ammo factory (DU);;;;Fortgeschrittene Fabrik für kleinkalibrige Munition (DU);;;高级小口径弹药工厂（贫铀）;;
gui/hud/building_name/ammo_factory_lowcaliber_ext;Top end low caliber ammo processor;;;;Hochwertiger Verarbeitungsbetrieb für kleinkalibrige Munition;;;顶级小口径弹药工厂;;
gui/hud/building_name/ammo_factory_lowcaliber_ext_molt;Top end low caliber ammo forge;;;;Spitzen-Schmiede für Kleinkalibermunition;;;顶级小口径弹药锻造厂;;
gui/hud/building_name/ammo_factory_lowcaliber_highcaliber;Low and High Caliber ammo factory;;;;Fabrik für Klein- und Großkalibermunition;;;小口径和大口径弹药工厂;;
gui/hud/building_name/ammo_storage_energy;Energy Cell Storage;;;;Energiespeicher;;;能量电池仓库;;
gui/hud/building_name/ammo_storage_explosive;Explosive Ammo Storage;;;;Lager für Sprengstoffmunition;;;爆炸弹药仓库;;
gui/hud/building_name/ammo_storage_highcaliber;High Caliber Ammo Storage;;;;Lager für Großkalibermunition;;;大口径弹药仓库;;
gui/hud/building_name/ammo_storage_liquid;Liquid Ammunition Storage;;;;Lager für Flüssigmunition;;;液体弹药仓库;;
gui/hud/building_name/ammo_storage_lowcaliber;Low Caliber Ammo Storage;;;;Lager für Kleinkalibermunition;;;小口径弹药仓库;;
gui/hud/building_name/ammonium_extractor;Ammonium Extractor;;;;Ammonium-Extraktor;;;铵提取器;;
gui/hud/building_name/ammonium_synthesizer;Ammonium Synthesizer;;;;Ammonium-Synthesizer;;;铵合成器;;
gui/hud/building_name/bio_cobalt_refinery;Bio-Cobalt Refinery;;;;Bio-Kobalt-Raffinerie;;;生物钴精炼厂;;
gui/hud/building_name/bio_palladium_refinery;Bio-Palladium Refinery;;;;Bio-Palladium-Raffinerie;;;生物钯精炼厂;;
gui/hud/building_name/bio_titanium_refinery;Bio-Titanium Refinery;;;;Bio-Titan-Raffinerie;;;生物钛精炼厂;;
gui/hud/building_name/bio_uranium_ore_refinery;Bio-Uranium Refinery;;;;Bio-Uran-Raffinerie;;;生物铀精炼厂;;
gui/hud/building_name/biomass_morphed_press;Morphed Biomass Press;;;;Morphed-Biomassepresse;;;变异生物质压榨机;;
gui/hud/building_name/biomass_mycelium_press;Mycelium Press;;;;Myzelpresse;;;菌丝体压榨机;;
gui/hud/building_name/biomass_oil_press;Biooil Press;;;;Bioölpresse;;;生物油压榨机;;
gui/hud/building_name/biomass_plant_press;Biomass Press;;;;Biomassepresse;;;生物质压榨机;;
gui/hud/building_name/biomass_water_press;Biomass Water Press;;;;Biomasse-Wasserpresse;;;生物质水压榨机;;
gui/hud/building_name/bioreactor;Bioreactor;;;;Bioreaktor;;;生物反应器;;
gui/hud/building_name/blast_furnace;Blast Furnace;;;;Hochofen;;;高炉;;
gui/hud/building_name/carbonizer;Carbonizer;;;;Karbonisator;;;碳化器;;
gui/hud/building_name/crystalizer_ferdonite;Ferdonite Crystallizer;;;;Ferdonit-Kristallisator;;;铁白云石结晶器;;
gui/hud/building_name/crystalizer_hazenite;Hazenite Crystallizer;;;;Hazenit-Kristallisator;;;黑森矿结晶器;;
gui/hud/building_name/crystalizer_rhodonite;Rhodonite Crystallizer;;;;Rhodonit-Kristallisator;;;蔷薇辉石结晶器;;
gui/hud/building_name/crystalizer_tanzanite;Tanzanite Crystallizer;;;;Tansanit-Kristallisator;;;坦桑石结晶器;;
gui/hud/building_name/energy_connector_armored;Armored Energy Connector;;;;Gepanzerter Energieanschluss;;;装甲能量连接器;;
gui/hud/building_name/energy_connector_water;Energy Connector Water;;;;Energieanschluss Wasser;;;水上能量连接器;;
gui/hud/building_name/energy_storage_new;Energy Grid Balancer;;;;Energie-Netzausgleicher;;;能源储存库;;
gui/hud/building_name/fire_control_station;Fire Control Station;;;;Feuerleitstelle;;;火力控制站;;
gui/hud/building_name/fire_control_station_artillery;Long Range Fire Control Station;;;;Feuerleitstelle mit großer Reichweite;;;远程火力控制站;;
gui/hud/building_name/fluorine_trap;Fluorine Capture Plant;;;;Fluor-Abscheideanlage;;;氟捕获装置;;
gui/hud/building_name/gas_ionizer;Gas Ionizer;;;;Gasionisator;;;气体电离器;;
gui/hud/building_name/geoscanner;Geoscanner;;;;Geoscanner;;;地质探测仪;;
gui/hud/building_name/heat_charger;Ambient Heat Ion Charger;;;;Umgebungswärme-Ionenlader;;;环境热离子充电器;;
gui/hud/building_name/heavy_water_plant;Heavy Water Plant;;;;Schwerwasseranlage;;;重水工厂;;
gui/hud/building_name/heavy_water_reactor;Heavy Water Reactor;;;;Schwerwasserreaktor;;;重水发电站;;
gui/hud/building_name/irradiator;Irradiator;;;;Bestrahlungsanlage;;;辐照器;;
gui/hud/building_name/large_solid_material_storage_basic;Large Basic Materials Storage;;;;Großlager für Grundstoffe;;;大型基础材料仓库;;
gui/hud/building_name/large_solid_material_storage_other;Large Solid Materials Storage;;;;Großlager für Feststoffe;;;大型固体材料仓库;;
gui/hud/building_name/large_solid_material_storage_rare;Large Rare Metals Storage;;;;Großlager für Seltene Metalle;;;大型稀有金属仓库;;
gui/hud/building_name/liquid_material_storage_large;Large Storage Silo;;;;Großlagersilo;;;大型储存筒仓;;
gui/hud/building_name/liquid_material_storage_small;Small Storage Silo;;;;Kleinsilos;;;小型储存筒仓;;
gui/hud/building_name/liquid_pumpjack;Pumpjack;;;;Pumpjack;;;抽油机;;
gui/hud/building_name/magnetic_stabilizer;Magnetic Stabilizer (+25%);;;;Magnetstabilisator (+25 %);;;磁稳定器（+25%）;;
gui/hud/building_name/magnetic_stabilizer_alien;Magnetic Stabilizer (+50%);;;;Magnetstabilisator (+50 %);;;异星磁稳定器（+50%）;;
gui/hud/building_name/mining_drill;Mining Drill;;;;Bergbaubohrgerät;;;采矿钻机;;
gui/hud/building_name/moisture_trap;Moisture Trap;;;;Feuchtigkeitsfalle;;;湿气捕获器;;
gui/hud/building_name/morphium_factory;Morphing Flux Capacitor;;;;Morphing-Flusskondensator;;;Morphing Flux 电容器;;
gui/hud/building_name/nitric_acid_refinery;Nitric Acid Refinery;;;;Salpetersäure-Raffinerie;;;硝酸精炼厂;;
gui/hud/building_name/nitrification_plant;Nitrification Plant;;;;Nitrifikationsanlage;;;硝化工厂;;
gui/hud/building_name/nitrification_site;Nitrification Site;;;;Nitrifikationsstandort;;;硝化站点;;
gui/hud/building_name/offshore_wind_turbine;Offshore Wind Turbine;;;;Offshore-Windkraftanlage;;;海上风力涡轮机;;
gui/hud/building_name/ore_mill;Ore Mill;;;;Erzmühle;;;矿石磨机;;
gui/hud/building_name/ore_mill_lvl_2;Ore Mill (+50%);;;;Erzmühle (+50 %);;;矿石磨机（+50%）;;
gui/hud/building_name/ore_mill_lvl_3;Ore Mill (+85%);;;;Erzmühle (+85 %);;;矿石磨机（+85%）;;
gui/hud/building_name/ore_mill_lvl_4;Ore Mill (+125%);;;;Erzmühle (+125 %);;;矿石磨机（+125%）;;
gui/hud/building_name/petroleum_refinery;Petroleum Refinery;;;;Erdölraffinerie;;;石油精炼厂;;
gui/hud/building_name/planet_defense;Orbital Defense Station;;;;Orbitalverteidigungsstation;;;轨道防御站;;
gui/hud/building_name/reagent_condenser;Reagent Condenser;;;;Reagenzienkondensator;;;试剂冷凝器;;
gui/hud/building_name/reagent_refinery;Reagent Refinery;;;;Reagenzienraffinerie;;;试剂精炼厂;;
gui/hud/building_name/regenerating_extractor;Mycelium Extractor;;;;Myzel-Extraktor;;;菌丝体提取器;;
gui/hud/building_name/repair_central;A central for drone repairing operations that covers the entire map. Massive reagent consumption when drones are deployed.;;;;Eine Zentrale für Drohnenreparaturen, die die gesamte Karte abdeckt. Massiver Reagenzienverbrauch beim Einsatz von Drohnen.;;;覆盖整个地图的无人机维修操作中心。无人机部署时消耗大量试剂。;;
gui/hud/building_name/resin_factory;Synthetic Resin Plant;;;;Kunstharzfabrik;;;树脂工厂;;
gui/hud/building_name/resource_converter_cobalt;Cobalt Morphing Plant;;;;Kobalt-Morphing-Anlage;;;钴转化工厂;;
gui/hud/building_name/resource_converter_palladium;Palladium Morphing Plant;;;;Palladium-Morphing-Anlage;;;钯转化工厂;;
gui/hud/building_name/resource_converter_titanium;Titanium Morphing Plant;;;;Titan-Morphing-Anlage;;;钛转化工厂;;
gui/hud/building_name/resource_converter_uranium;Enriched Uranium Morphing Plant;;;;Anreicherungsanlage für angereichertes Uran;;;浓缩铀转化工厂;;
gui/hud/building_name/resource_converter_uranium_depleted;Depleted Uranium Morphing Plant;;;;Anreicherungsanlage für abgereichertes Uran;;;贫铀转化工厂;;
gui/hud/building_name/rtg;RTG;;;;RTG;;;放射性同位素热电发电机;;
gui/hud/building_name/solid_material_storage_basic;Basic Materials Storage;;;;Lager für Grundstoffe;;;基础材料仓库;;
gui/hud/building_name/solid_material_storage_other;Solid Materials Storage;;;;Lager für feste Materialien;;;固体材料仓库;;
gui/hud/building_name/solid_material_storage_rare;Rare Metals Storage;;;;Lager für seltene Metalle;;;稀有金属仓库;;
gui/hud/building_name/solid_material_storage_underground;Underground Storage;;;;Unterirdisches Lager;;;地下仓库;;
gui/hud/building_name/solvent_refinery;Solvent Refinery;;;;Lösungsmittelraffinerie;;;溶剂精炼厂;;
gui/hud/building_name/steel_seperator;Metal Separator;;;;Metallseparator;;;金属分离器;;
gui/hud/building_name/strip_mine;Strip Mine;;;;Tagebau;;;露天矿;;
gui/hud/building_name/strip_mine_lvl_2;Strip Mine 2;;;;Tagebau 2;;;露天矿2级;;
gui/hud/building_name/strip_mine_lvl_3;Strip Mine 3;;;;Tagebau 3;;;露天矿3级;;
gui/hud/building_name/supercoolant_chem_plant;Coolant Chemical Plant;;;;Kühlmittel-Chemiewerk;;;冷却剂化工厂;;
gui/hud/building_name/thermal_ion_charger;Thermal Ion Charger;;;;Thermischer Ionenlader;;;热离子充电器;;
gui/hud/building_name/tower_artillery_acid;Artillery Tower - Acid Shells;;;;Artillerie-Turm – Säuregeschosse;;;炮塔 - 酸性炮弹;;
gui/hud/building_name/tower_artillery_napalm;Artillery Tower - Napalm Shells;;;;Artillerie-Turm – Napalmgeschosse;;;炮塔 - 凝固汽油弹;;
gui/hud/building_name/tower_artillery_propelled;Artillery Tower - Propelled;;;;Artillerie-Turm – Treibladung;;;炮塔 - 推进式;;
gui/hud/building_name/tower_artillery_superpropelled;Artillery Tower – Super-propelled;;;;Artillerie-Turm – Super-Treibladung;;;炮塔 - 超级推进式;;
gui/hud/building_name/tower_cannon;90mm Gun Tower;;;;90-mm-Geschützturm;;;90毫米炮塔;;
gui/hud/building_name/tower_cannon_acid;90mm Gun Tower - Acidic Rounds;;;;90-mm-Geschützturm – Säuregeschosse;;;90毫米炮塔 - 酸性弹药;;
gui/hud/building_name/tower_cannon_cooled;90mm Gun Tower - Cooled;;;;90-mm-Geschützturm – gekühlt;;;90毫米炮塔 - 冷却型;;
gui/hud/building_name/tower_cannon_cryo;90mm Gun Tower - Cryo Rounds;;;;90-mm-Geschützturm – Kryo-Geschosse;;;90毫米炮塔 - 冷冻弹药;;
gui/hud/building_name/tower_cannon_incindiary;90mm Gun Tower – Incendiary Rounds;;;;90-mm-Geschützturm – Brandgeschosse;;;90毫米炮塔 - 燃烧弹药;;
gui/hud/building_name/tower_cannon_small;20mm Gun Tower;;;;20-mm-Geschützturm;;;20毫米炮塔;;
gui/hud/building_name/tower_cryo_spitter;Cryo Spewer Tower ;;;;Kryo-Spucker-Turm;;;寒流喷洒塔;;
gui/hud/building_name/tower_drone_attack_lvl2_explosive;Attack Drone Tower (Rockets);;;;Angriffsdrohnen-Turm (Raketen);;;攻击无人机塔（火箭）;;
gui/hud/building_name/tower_drone_attack_lvl2_fire;Attack Drone Tower (Incendiary);;;;Angriffsdrohnen-Turm (Brand);;;攻击无人机塔（燃烧）;;
gui/hud/building_name/tower_drone_attack_lvl3;Attack Drone Tower (Corrosive);;;;Angriffsdrohnen-Turm (Ätzend);;;攻击无人机塔（腐蚀）;;
gui/hud/building_name/tower_drone_attack_lvl3_cryo;Attack Drone Tower (Cryo);;;;Angriffsdrohnen-Turm (Kryo);;;攻击无人机塔（冷冻）;;
gui/hud/building_name/tower_drone_attack_lvl3_energy;Attack Drone Tower (Lightning);;;;Angriffsdrohnen-Turm (Blitz);;;攻击无人机塔（闪电）;;
gui/hud/building_name/tower_fire_spitter;Napalm Spewer Tower;;;;Napalm-Spucker-Turm;;;凝固汽油弹喷洒塔;;
gui/hud/building_name/tower_flamer_cryo;Cryo Atomizer Tower;;;;Kryo-Zerstäuber-Turm;;;寒冰喷雾塔;;
gui/hud/building_name/tower_flamer_cryo_lvl_3;Cryo Atomizer Tower (Large);;;;Kryo-Zerstäubungsturm (groß);;;寒冰喷雾塔(大型);;
gui/hud/building_name/tower_hcm_acid;HCM Tower (acid);;;;HCM-Turm (Säure);;;HCM塔 (酸);;
gui/hud/building_name/tower_hcm_cryo;HCM Tower (cryo);;;;HCM-Turm (Kryo);;;HCM塔 (冰);;
gui/hud/building_name/tower_ice_big;Piercer Tower;;;;Piercer-Turm;;;穿刺塔;;
gui/hud/building_name/tower_laser_cooled;Laser Tower - Cooled;;;;Laserturm – gekühlt;;;激光塔 - 冷却型;;
gui/hud/building_name/tower_laser_supercooled;Laser Tower – Super-cooled;;;;Laserturm – supergekühlt;;;激光塔 - 超级冷却型;;
gui/hud/building_name/tower_laser_water;Laser Tower – Environmental Cooling;;;;Laserturm – Umgebungskühlung;;;激光塔 - 自冷却型;;
gui/hud/building_name/tower_minigun_cooled;Minigun Tower - Cooled;;;;Minigun-Turm – gekühlt;;;机枪塔 - 冷却型;;
gui/hud/building_name/tower_minigun_frag;Large Minigun Tower - Frag Rounds;;;;Großer Minigun-Turm – Splittergeschosse;;;大型机枪塔 - 破片弹药;;
gui/hud/building_name/tower_minigun_platform;Minigun Tower – Environmental Cooling;;;;Minigun-Turm – Umgebungskühlung;;;机枪塔 - 环境冷却型;;
gui/hud/building_name/tower_minigun_supercooled;Minigun Tower – Super-cooled;;;;Minigun-Turm – supergekühlt;;;机枪塔 - 超级冷却型;;
gui/hud/building_name/tower_plasma_base;Plasma Tower;;;;Plasmaturm;;;等离子塔;;
gui/hud/building_name/tower_plasma_charged;Plasma Tower - Charged;;;;Plasmaturm – geladen;;;等离子塔 - 充能型;;
gui/hud/building_name/tower_plasma_supercharged;Plasma Tower - Supercharged;;;;Plasmaturm – supergeladen;;;等离子塔 - 超级充能型;;
gui/hud/building_name/tower_railgun_cooled;Railgun Tower - Cooled;;;;Railgun-Turm – gekühlt;;;轨道炮塔 - 冷却型;;
gui/hud/building_name/tower_railgun_large;Large Railgun Tower;;;;Großer Railgun-Turm;;;大型轨道炮塔;;
gui/hud/building_name/tower_railgun_supercooled;Railgun Tower – Super-cooled;;;;Railgun-Turm – Supergekühlt;;;轨道炮塔 - 超级冷却型;;
gui/hud/building_name/tower_rockets_propelled;Rocket Tower - Propelled;;;;Raketen-Turm – Angetrieben;;;火箭塔 - 推进式;;
gui/hud/building_name/tower_rockets_superpropelled;Rocket Tower – Super-propelled;;;;Raketen-Turm – Superangetrieben;;;火箭塔 - 超级推进式;;
gui/hud/building_name/tower_shockwave_acid;Shockwave Tower - Acid;;;;Schockwellen-Turm – Säure;;;冲击波塔 - 酸雨;;
gui/hud/building_name/tower_shockwave_area;Shockwave Tower;;;;Schockwellen-Turm;;;冲击波塔;;
gui/hud/building_name/tower_shockwave_cryo;Shockwave Tower - Cryo;;;;Schockwellen-Turm – Kryo;;;冲击波塔 - 冷冻;;
gui/hud/building_name/water_drill;Groundwater Well;;;;Grundwasserbrunnen;;;地下水井;;
gui/hud/objective_name/generic/investigate_anomaly;Investigate the anomaly;;;;;;;;;
gui/hud/objective_name/story/build_cobalt_deepvein_mine;Build Drilling Mine on an underground Cobalt deposit. Use Geoscanner to find them;;;;Baue eine Bohrmine auf einem unterirdischen Kobaltvorkommen. Verwende den Geoscanner, um sie zu finden;;;在地下钴矿床上建造钻井矿。使用地质扫描仪寻找它们;;
gui/hud/objective_name/story/build_palladium_deepvein_mine;Build Drilling Mine on an underground Palladium deposit. Use Geoscanner to find them;;;;Baue eine Bohrmine auf einem unterirdischen Palladiumvorkommen. Verwende den Geoscanner, um sie zu finden;;;在地下钯矿床上建造钻井矿。使用地质扫描仪寻找它们;;
gui/hud/objective_name/story/build_titanium_deepvein_mine;Build Drilling Mine on an underground Titanium deposit. Use Geoscanner to find them;;;;Baue eine Bohrmine auf einem unterirdischen Titanvorkommen. Verwende den Geoscanner, um sie zu finden;;;在地下钛矿床上建造钻井矿。使用地质扫描仪寻找它们;;
gui/hud/objective_name/story/build_uranium_deepvein_mine;Build Drilling Mine on an underground Uranium deposit. Use Geoscanner to find them;;;;Baue eine Bohrmine auf einem unterirdischen Uranvorkommen. Verwende den Geoscanner, um sie zu finden;;;在地下铀矿床上建造钻井矿。使用地质扫描仪寻找它们;;
gui/hud/objective_name/story/find_cobalt_deepvein;Use Geoscanner to find hidden large underground Cobalt deposit;;;;Verwende den Geoscanner, um versteckte große unterirdische Kobaltvorkommen zu finden;;;使用地质扫描仪寻找隐藏的大型地下钴矿床;;
gui/hud/objective_name/story/find_palladium_deepvein;Use Geoscanner to find hidden large underground Palladium deposit;;;;Verwende den Geoscanner, um versteckte große unterirdische Palladiumvorkommen zu finden;;;使用地质扫描仪寻找隐藏的大型地下钯矿床;;
gui/hud/objective_name/story/find_titanium_deepvein;Use Geoscanner to find hidden large underground Titanium deposit;;;;Verwende den Geoscanner, um versteckte große unterirdische Titanvorkommen zu finden;;;使用地质扫描仪寻找隐藏的大型地下钛矿床;;
gui/hud/objective_name/story/find_uranium_deepvein;Use Geoscanner to find hidden large underground Uranium deposit;;;;Verwende den Geoscanner, um versteckte große unterirdische Uranvorkommen zu finden;;;使用地质扫描仪寻找隐藏的大型地下铀矿床;;
gui/menu/info/desc/building_limit_increase_outpost;Improves the numbers of outposts the HQ can maintain;;;;;;;;;
gui/menu/info/desc/upgrade_buff_generic_req;Warning: Building upgrades require some buff building in the area. Currently this requirement is only visible on the actual building but not its blueprint;;;;;;;;;
gui/menu/info/desc/upgrade_buff_geoscanner_req;Warning: Building upgrades require an operational geoscanner in the area. Currently this requirement is only visible on the actual building but not its blueprint;;;;;;;;;
gui/menu/info/desc/upgrade_buff_mag_stabilizer_req;Warning: Building upgrades require an operational magnetic stabilizer in the area. Currently this requirement is only visible on the actual building but not its blueprint;;;;;;;;;
gui/menu/info/desc/upgrade_buff_ore_mill_req;Warning: Building upgrades require an operational ore mill in the area. Currently this requirement is only visible on the actual building but not its blueprint;;;;;;;;;
gui/menu/info/desc/upgrade_coolant_upkeep_advanced;Warning: Building upgrades require a pipe connection to an advanced coolant;;;;;;;;;
gui/menu/info/desc/upgrade_coolant_upkeep_normal;Warning: Building upgrades require a proper coolant. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_coolant_upkeep_simple;Warning: Building upgrades require pipe connection to a simple coolant (most fluids will do). If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_deuterium_upkeep;Warning: Building upgrades require pipe connection to deuterium.;;;;;;;;;
gui/menu/info/desc/upgrade_drilling_fluid_upkeep;Warning: Building upgrades require pipe connection to a drilling liquid. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
